sample_id,router_name,budget,domain,ocr_text,final_text,gt,backfill_status,backfill_reason,edit_distance_final
GeoP0199_L003,SH-DA++,0.1,geology,外侧易环裂,外侧显环裂,外侧易张裂,accepted,accepted,2
GeoP0199_L005,SH-DA++,0.1,geology,易形成平行皱(IB型),易形成平行褶皱 (IB型),易形成平行褶皱(IB型),accepted,accepted,1
GeoP0199_L006,SH-DA++,0.1,geology,浅部 脆性 送层,浅部 脆性 断层,{浅部脆性断层,accepted,accepted,3
GeoP0199_L009,SH-DA++,0.1,geology,弯流作用,弯流作用,(弯流作用,accepted,accepted,1
GeoP0199_L011,SH-DA++,0.1,geology,{深部 韧性剪切带,{深部 韧性剪切带,{深部韧性剪切带,accepted,accepted,1
GeoP0199_L012,SH-DA++,0.1,geology,当阔被曲率当大时,当褶皱曲率变大时,当褶皱曲率变大时，,accepted,accepted,1
GeoP0199_L018,SH-DA++,0.1,geology,亲部,顶部,核部,accepted,accepted,1
GeoP0199_L019,SH-DA++,0.1,geology,上升盘,上升盘,{上升盘,accepted,accepted,1
GeoP0199_L021,SH-DA++,0.1,geology,e.g 同沉积褶皱和底辟构造、容隆.,e.g 同沉积褶皱和底辟构造、穹隆.,e.g同沉积褶皱和底辟构造、穹隆.,accepted,accepted,1
GeoP0199_L024,SH-DA++,0.1,geology,上盘,上盘,{上盘,accepted,accepted,1
GeoP0199_L029,SH-DA++,0.1,geology,为顶薄褶皱(工型),为顶薄褶皱(工型),↳为顶薄褶皱（IA型）,rejected,rejected_global_ed_exceeded,5
GeoP0199_L031,SH-DA++,0.1,geology,两测匀为拉伸状态,两侧均为拉伸状态,两侧匀为拉伸状态,accepted,accepted,1
GeoP0199_L032,SH-DA++,0.1,geology,也会发生一些等：流作用[由顶部向部],也会发生一些剪流作用[由顶部向翼部],也会发生一些弯流作用[由顶部向翼部],accepted,accepted,1
GeoP0199_L033,SH-DA++,0.1,geology,滑距(两盘错动的距离),滑距(两盘错动的距离),{滑距(两盘错动的距离),accepted,accepted,1
GeoP0199_L036,SH-DA++,0.1,geology,旋转位移,旋转位移,{旋转位移,accepted,accepted,1
GeoP0199_L038,SH-DA++,0.1,geology,典型的相似褶皱(Ⅱ型),典型的相似褶皱(Ⅱ型),典型的相似褶皱（Ⅱ型）,accepted,accepted,2
GeoP0199_L039,SH-DA++,0.1,geology,→沿密集的平行劈理或片理面 发生差异滑动,→沿密集的平行劈理或片理面 发生差异滑动,->沿密集的平行劈理或片理面发生差异滑动,accepted,accepted,3
GeoP0199_L041,SH-DA++,0.1,geology,分类,分类,分类{,accepted,accepted,1
GeoP0199_L042,SH-DA++,0.1,geology,几何,几何,[几何,accepted,accepted,1
GeoP0199_L043,SH-DA++,0.1,geology,断层面与褶皱轴面的关系纵，横、斜,断层面与褶皱轴面的关系 纵、横、斜,断层面与褶皱轴面的关系纵、横、斜,accepted,accepted,1
GeoP0199_L046,SH-DA++,0.1,geology,正断层正盘下除],正断层正盘下除],{正断层}[上盘下降],rejected,rejected_global_ed_exceeded,5
GeoP0199_L047,SH-DA++,0.1,geology,平移一正断层侧伏45°~.800,平移一正断层侧伏45°~.800,{平移-正断层}倾伏角45°~80°,rejected,rejected_global_ed_exceeded,7
GeoP0199_L049,SH-DA++,0.1,geology,运动,运动,(运动,accepted,accepted,1
GeoP0199_L050,SH-DA++,0.1,geology,逆断层,逆断层,|逆断层,accepted,accepted,1
GeoP0199_L051,SH-DA++,0.1,geology,并非绝对.,并非绝对.,→并非绝对,accepted,accepted,2
GeoP0199_L053,SH-DA++,0.1,geology,补：褶皮波长的影响因素.,补：褶皱波长的影响因素.,补:褶皱波长的影响因素.,accepted,accepted,1
GeoP0199_L056,SH-DA++,0.1,geology,组合：盆岭构造、裂谷,组合：盆岭构造、裂谷,组合:盆岭构造、裂谷,accepted,accepted,1
GeoP0199_L062,SH-DA++,0.1,geology,地垒两条走向基本平行，向相，有共同升,地垒两条走向基本平行，向相，有共同升,"地垒两条走向基本平行,倾向相反,有共同上升盘",not_upgraded,not_upgraded,6
GeoP0199_L064,SH-DA++,0.1,geology,阶梯状构造及笑状构造.,阶梯状构造 及 箕状构造.,阶梯状构造及箕状构造.,accepted,accepted,2
GeoP0199_L065,SH-DA++,0.1,geology,雁列式断层(斜列式),←→雁列式断层(斜列式),<->雁列式断层（斜列式）,accepted,accepted,5
GeoP0199_L069,SH-DA++,0.1,geology,与断层具有相对性.,与断层具有相对性。,→与断层具有相对性.,accepted,accepted,2
GeoP0199_L070,SH-DA++,0.1,geology,(1)开究的尺度,(1)研究的尺度,{(1)研究的尺度,accepted,accepted,1
GeoP0199_L071,SH-DA++,0.1,geology,环状断层及放射状断层,环状断层及放射状断层,环状断层及放射状断层.,accepted,accepted,1
GeoP0199_L073,SH-DA++,0.1,geology,(2)是否考虑相对体移.,(2)是否考虑相对位移.,{(2)是否考虑相对位移.,accepted,accepted,1
GeoP0199_L075,SH-DA++,0.1,geology,变质核杂岩：备古老变质岩和侵入岩浆体所构成的弧立穹隆状的结晶隆起,变质核杂岩：由古老变质岩和侵入岩浆体所构成的孤立穹隆状的结晶隆起,变质核杂岩：由古老变质岩和侵入岩浆体所构成的孤立穹隆状的结晶隆起.,accepted,accepted,1
GeoP0199_L077,SH-DA++,0.1,geology,与褶皱轴面.,与褶皱轴面.,{与褶皱轴面.,rejected,rejected_global_length_change,1
GeoP0199_L079,SH-DA++,0.1,geology,岩墙群.,岩墙群.,(岩墙群.,accepted,accepted,1
GeoP0199_L080,SH-DA++,0.1,geology,受力成因3,受力成因3,受力成因,accepted,accepted,1
GeoP0199_L090,SH-DA++,0.1,geology,(逆中推,(逆中推,（逆冲推,rejected,rejected_global_length_change,2
GeoP0199_L091,SH-DA++,0.1,geology,限制(被限制的映),限制(被限制的层),限制(被限制的晚),accepted,accepted,1
GeoP0199_L092,SH-DA++,0.1,geology,下盘为相对未动的原地层(较平）→言外来岩体覆盖在部分原地层，仅留出一小部分一构建,下盘为相对未动的原地层(较平）→言外来岩体覆盖在部分原地层，仅留出一小部分一构建,下盘为相对未动的原地层（较早）→当外来岩体覆盖在部分原地层，仅留出一小部分—构造窗,rejected,rejected_global_ed_exceeded,6
GeoP0199_L093,SH-DA++,0.1,geology,依据交切关系,依据交切关系,依据支切关系,accepted,accepted,1
GeoP0199_L094,SH-DA++,0.1,geology,互切(司时),互切(同时),互切（同时）,accepted,accepted,2
GeoP0199_L098,SH-DA++,0.1,geology,追踪利用、改造(被的早),追踪利用、改造(被的早),{追踪，利用，改造（被..的早）,accepted,accepted,7
GeoP0199_L100,SH-DA++,0.1,geology,借助其它地质体(如：地质体的侵入关到)(无岩脉填充的晚),借助其它地质体(如：地质体的侵入关系)(无岩脉填充的晚),{借助其它地质体(如:地质体的侵入关系)(无岩脉填充的晚),accepted,accepted,2
GeoP0199_L102,SH-DA++,0.1,geology,平移断层：,平移断层：,平移断层:,accepted,accepted,1
GeoP0199_L106,SH-DA++,0.1,geology,配套,配套,（配套,accepted,accepted,1
GeoP0199_L109,SH-DA++,0.1,geology,左行→看对盘的运动方向,左行→看对盘的运动方向,左行.->看对盘的运动方向,rejected,rejected_global_ed_exceeded,3
GeoP0199_L114,SH-DA++,0.1,geology,2) 逆断层[画图分析],2) 逆断层[画图分析],2)逆断层[画图分析],accepted,accepted,1
GeoP0199_L115,SH-DA++,0.1,geology,(1)正断层(从地表的切面来观测),(1)正断层(从地表的切面来观测),1)正断层(以地表的切面来观测),accepted,accepted,2
GeoP0199_L117,SH-DA++,0.1,geology,①地层缺失→送层与地层倾向相同[断层倾地倾],①地层缺失→送层与地层倾向相同[断层倾地倾],①地层缺失→断层与地层倾向相同[断层倾角>地层倾角],rejected,rejected_global_ed_exceeded,5
