sample_id,router_name,budget,domain,ocr_text,final_text,gt,backfill_status,backfill_reason,edit_distance_final
GeoP0199_L003,GCR,0.1,geology,外侧易环裂,外侧易环裂,外侧易张裂,not_upgraded,not_upgraded,1
GeoP0199_L005,GCR,0.1,geology,易形成平行皱(IB型),易形成平行皱(IB型),易形成平行褶皱(IB型),not_upgraded,not_upgraded,1
GeoP0199_L006,GCR,0.1,geology,浅部 脆性 送层,浅部 脆性 送层,{浅部脆性断层,not_upgraded,not_upgraded,4
GeoP0199_L009,GCR,0.1,geology,弯流作用,弯流作用,(弯流作用,not_upgraded,not_upgraded,1
GeoP0199_L010,GCR,0.1,geology,易形成相似褶皱(正型)和,易形成相似褶皱(正型)和,易形成相似褶皱(Ⅱ型)和,not_upgraded,not_upgraded,1
GeoP0199_L011,GCR,0.1,geology,{深部 韧性剪切带,{深部 韧性剪切带,{深部韧性剪切带,not_upgraded,not_upgraded,1
GeoP0199_L012,GCR,0.1,geology,当阔被曲率当大时,当褶皱曲率变大时,当褶皱曲率变大时，,accepted,accepted,1
GeoP0199_L018,GCR,0.1,geology,亲部,顶部,核部,accepted,accepted,1
GeoP0199_L019,GCR,0.1,geology,上升盘,上升盘,{上升盘,not_upgraded,not_upgraded,1
GeoP0199_L021,GCR,0.1,geology,e.g 同沉积褶皱和底辟构造、容隆.,e.g 同沉积褶皱和底辟构造、容隆.,e.g同沉积褶皱和底辟构造、穹隆.,not_upgraded,not_upgraded,2
GeoP0199_L024,GCR,0.1,geology,上盘,上盘,{上盘,not_upgraded,not_upgraded,1
GeoP0199_L029,GCR,0.1,geology,为顶薄褶皱(工型),为顶薄褶皱(工型),↳为顶薄褶皱（IA型）,not_upgraded,not_upgraded,5
GeoP0199_L031,GCR,0.1,geology,两测匀为拉伸状态,两测匀为拉伸状态,两侧匀为拉伸状态,not_upgraded,not_upgraded,1
GeoP0199_L032,GCR,0.1,geology,也会发生一些等：流作用[由顶部向部],也会发生一些等：流作用[由顶部向部],也会发生一些弯流作用[由顶部向翼部],not_upgraded,not_upgraded,3
GeoP0199_L033,GCR,0.1,geology,滑距(两盘错动的距离),滑距(两盘错动的距离),{滑距(两盘错动的距离),not_upgraded,not_upgraded,1
GeoP0199_L036,GCR,0.1,geology,旋转位移,旋转位移,{旋转位移,not_upgraded,not_upgraded,1
GeoP0199_L038,GCR,0.1,geology,典型的相似褶皱(Ⅱ型),典型的相似褶皱(Ⅱ型),典型的相似褶皱（Ⅱ型）,not_upgraded,not_upgraded,2
GeoP0199_L039,GCR,0.1,geology,→沿密集的平行劈理或片理面 发生差异滑动,→沿密集的平行劈理或片理面 发生差异滑动,->沿密集的平行劈理或片理面发生差异滑动,not_upgraded,not_upgraded,3
GeoP0199_L041,GCR,0.1,geology,分类,分类,分类{,not_upgraded,not_upgraded,1
GeoP0199_L042,GCR,0.1,geology,几何,几何,[几何,not_upgraded,not_upgraded,1
